seed,condition,env_name,metabolic_load,lesion_mode,help_rate_when_partner_distressed,partner_recovery_rate,mutual_viability,rescue_latency,self_cost_of_help,episode_joint_longevity
0,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
1,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
2,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
3,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
4,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
5,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
6,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
7,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
8,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
9,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
10,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
11,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
12,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
13,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
14,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
15,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
16,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
17,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
18,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
19,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
20,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
21,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
22,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
23,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
24,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
25,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
26,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
27,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
28,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
29,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
30,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
31,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
32,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
33,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
34,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
35,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
36,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
37,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
38,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
39,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
40,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
41,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
42,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
43,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
44,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
45,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
46,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
47,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
48,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
49,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
50,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
51,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
52,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
53,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
54,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
55,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
56,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
57,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
58,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
59,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
60,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
61,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
62,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
63,social_affective_direct,SocialCorridorWorld,high,none,0.0,0.0,0.3888888888888889,18.0,0.34000000000000014,7.0
